Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
Amino acid	kcat forward (1/s)	kcat reverse or degradation (1/s)	KI (uM)	Upstream KM (mM)	Reverse KM (mM)	Degradation KM (mM)
L-ALPHA-ALANINE	168	2.03e+03		GLT: 24.9	4.9	
ARG	921	189	150	GLT: 2.65	2.87	
ASN	63.7	10	120	L-ASPARTATE: 2.53	4	
L-ASPARTATE	307	1.54e+03		GLT: 24.9	25.3	
CYS	2.95e+04	116	1	SER: 1.17	0.217	
GLT	6.13e+03	6.18e+03				2.3
GLN	36.1	0.0174		GLT: 3.3	0.25	
GLY	412	489		SER: 0.14	0.25	
HIS	20.2	91.1	73.3	GLN: 0.24		2.57
ILE	4.04e+03	0.28	60	GLT: 24.9	0.52	
LEU	81.6	1.86	280	GLT: 24.9	0.58	
LYS	101	102	871	GLT: 1.21	8.71	
MET	75.5	15	100	L-ASPARTATE: 0.97, CYS: 0.05		0.11
PHE	31.8	3.04	100	GLT: 24.9	0.333	
PRO	573	25.3	150	GLT: 24.9	2.7	
SER	1.59e+03	3.25e+04	370	GLT: 24.9	8.22	
THR	81.7	45.4	167	L-ASPARTATE: 0.97		6.5
TRP	68.5	3.8	170	GLN: 4.02, SER: 0.822		0.12
TYR	385	0.00499	100	GLT: 24.9	0.625	
VAL	257	7.64	100	GLT: 24.9	3.13	
