Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
Amino acid	kcat import (1/s)	kcat export (1/s)	Import KI (mM)	Export KM (mM)
L-ALPHA-ALANINE	282	156	2.23	40
ARG	1.53e+04	258	6.56	82.8
ASN	3.42e+03	17.2	0.863	125
L-ASPARTATE	1.33e+03	269	5.07	732
CYS	0	0	0.0434	6.27
GLT	440	20.1	49.8	7.19e+03
GLN	69	3.81	8.04	1.16e+03
GLY	1.43e+03	37.3	1.25	180
HIS	5.87e+03	9.73	0.147	21.2
ILE	388	13.7	0.304	70.5
LEU	577	262	1.68	40.5
LYS	148	85.7	13	252
MET	1.24e+04	7.73	0.162	40
PHE	167	38	0.148	7
PRO	347	13.3	0.81	117
SER	2.93e+03	457	1.64	238
THR	248	5.95	0.586	92.5
TRP	1.17e+03	51.6	0.399	6.27
TYR	1.38e+03	118	1.93	37.9
VAL	662	13.8	0.61	108
