Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:05 2024
Gene	RNA ID	Monomer ID	Process
aaeA	G7686_RNA	G7686-MONOMER	Metabolism
aaeB	G7685_RNA	G7685-MONOMER	Metabolism
aas	EG11679_RNA	AAS-MONOMER	Metabolism
aat	EG11112_RNA	EG11112-MONOMER	Metabolism
abgA	G6670_RNA	G6670-MONOMER	Metabolism
abgB	G6669_RNA	G6669-MONOMER	Metabolism
abgT	EG12853_RNA	ABGT-MONOMER	Metabolism
accA	EG11647_RNA	CARBOXYL-TRANSFERASE-ALPHA-MONOMER	Metabolism
accC	EG10276_RNA	BIOTIN-CARBOXYL-MONOMER	Metabolism
accD	EG10217_RNA	CARBOXYL-TRANSFERASE-BETA-MONOMER	Metabolism
aceA	EG10022_RNA	ISOCIT-LYASE-MONOMER	Metabolism
aceB	EG10023_RNA	MALATE-SYNTHASE	Metabolism
aceE	EG10024_RNA	E1P-MONOMER	Metabolism
aceF	EG10025_RNA	E2P-MONOMER	Metabolism
aceK	EG10026_RNA	ICITDEHASE-KIN-PHOSPHA	Metabolism
ackA	EG10027_RNA	ACETATEKINA-MONOMER	Metabolism
acnA	EG11325_RNA	ACONITASE-MONOMER	Metabolism
acpH	EG11095_RNA	EG11095-MONOMER	Metabolism
acpS	EG10247_RNA	HOLO-ACP-SYNTH-MONOMER	Metabolism
acpT	EG12221_RNA	EG12221-MONOMER	Metabolism
acrA	EG11703_RNA	EG11703-MONOMER	Metabolism
acrB	EG11704_RNA	ACRB-MONOMER	Metabolism
acrD	EG10014_RNA	ACRD-MONOMER	Metabolism
acrE	EG10266_RNA	EG10266-MONOMER	Metabolism
acrF	EG10267_RNA	ACRF-MONOMER	Metabolism
acs	EG11448_RNA	ACS-MONOMER	Metabolism
actP	EG11942_RNA	YJCG-MONOMER	Metabolism
ada	EG10029_RNA	PD00230	Metabolism
add	EG10030_RNA	ADENODEAMIN-MONOMER	Metabolism
adeD	EG11692_RNA	EG11692-MONOMER	Metabolism
adeP	EG11724_RNA	EG11724-MONOMER	Metabolism
adeQ	EG11691_RNA	EG11691-MONOMER	Metabolism
adhE	EG10031_RNA	ADHE-MONOMER	Metabolism
adhP	G6775_RNA	ADHP-MONOMER	Metabolism
adiA	EG11501_RNA	ARGDECARBOXDEG-MONOMER	Metabolism
adiC	EG12462_RNA	YJDE-MONOMER	Metabolism
adk	EG10032_RNA	ADENYL-KIN-MONOMER	Metabolism
aes	EG11101_RNA	EG11101-MONOMER	Metabolism
agaS	G7634_RNA	G7634-MONOMER	Metabolism
agp	EG10033_RNA	GLUCOSE-1-PHOSPHAT-MONOMER	Metabolism
ahpC	EG11384_RNA	EG11384-MONOMER	Metabolism
ahpF	EG11385_RNA	EG11385-MONOMER	Metabolism
ahr	EG11436_RNA	EG11436-MONOMER	Metabolism
aidB	EG11811_RNA	EG11811-MONOMER	Metabolism
alaA	G7184_RNA	G7184-MONOMER	Metabolism
alaC	G7242_RNA	G7242-MONOMER	Metabolism
alaE	G7399_RNA	G7399-MONOMER	Metabolism
alaS	EG10034_RNA	ALAS-MONOMER	Metabolism
aldA	EG10035_RNA	LACTALDDEHYDROG-MONOMER	Metabolism
aldB	EG12292_RNA	ALDDEHYDROGB-MONOMER	Metabolism
alkB	EG10037_RNA	EG10037-MONOMER	Metabolism
allA	G6275_RNA	G6275-MONOMER	Metabolism
allB	G6281_RNA	G6281-MONOMER	Metabolism
allC	G6285_RNA	G6285-MONOMER	Metabolism
allD	G6286_RNA	G6286-MONOMER	Metabolism
allE	G6284_RNA	G6284-MONOMER	Metabolism
allW	G6280_RNA	B0511-MONOMER	Metabolism
alr	EG10001_RNA	ALARACEBIOSYN-MONOMER	Metabolism
alsA	EG11959_RNA	YJCW-MONOMER	Metabolism
alsB	EG12458_RNA	YJCX-MONOMER	Metabolism
alsC	EG11958_RNA	YJCV-MONOMER	Metabolism
alsE	EG11957_RNA	EG11957-MONOMER	Metabolism
alsK	EG11956_RNA	EG11956-MONOMER	Metabolism
amiD	G6452_RNA	G6452-MONOMER	Metabolism
amn	EG10039_RNA	AMP-NUCLEOSID-MONOMER	Metabolism
ampD	EG10041_RNA	EG10041-MONOMER	Metabolism
ampG	EG12183_RNA	AMPG-MONOMER	Metabolism
ampH	EG12867_RNA	EG12867-MONOMER	Metabolism
amtB	EG11821_RNA	AMTB-MONOMER	Metabolism
anmK	G6880_RNA	G6880-MONOMER	Metabolism
ansA	EG10045_RNA	ANSA-MONOMER	Metabolism
ansB	EG10046_RNA	ANSB-MONOMER	Metabolism
ansP	G6764_RNA	ANSP-MONOMER	Metabolism
