Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
Reaction ID	Enzyme	Adjusted kcat (1/s)	Saturation
1.1.1.39-RXN	MALIC-NAD-CPLX[c]	[134.34654635732136]	[]
1.1.1.83-RXN	G6986-MONOMER[c]	[26.879541506930615]	[]
1.13.11.16-RXN	DHPDIOXYGEN-CPLX[i]	[66.62450458982802]	[]
2.1.1.79-RXN-CPD-18361/S-ADENOSYLMETHIONINE//CPD-18373/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.1.1.79-RXN-CPD-18362/S-ADENOSYLMETHIONINE//CPD-18406/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.1.1.79-RXN-CPD-18367/S-ADENOSYLMETHIONINE//CPD-18371/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.1.1.79-RXN-CPD-18369/S-ADENOSYLMETHIONINE//CPD-18372/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.1.1.79-RXN-CPD-18392/S-ADENOSYLMETHIONINE//CPD-18405/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.1.1.79-RXN-CPD-18403/S-ADENOSYLMETHIONINE//CPD-18404/ADENOSYL-HOMO-CYS/PROTON.67.	CFA-CPLX[c]	[0.12, 5.054272761986954, 0.042, 0.067]	[]
2.3.1.157-RXN	NAG1P-URIDYLTRANS-CPLX[c]	[1350.0]	[]
2.5.1.19-RXN	AROA-MONOMER[c]	[130.03265378566437, 60.65127314384344, 32.16355393991698]	[]
2.5.1.64-RXN	CPLX0-7525[i]	[0.14142135623730953, 0.21213203435596426, 0.6432710787983396]	[]
2.7.7.60-RXN	CPLX0-234[c]	[9.0, 27.291680517569514, 127.72836576281615, 142.77075594562714]	[]
2.8.1.6-RXN	BIOTIN-SYN-CPLX[c]	[13.89, 3.89e-05]	[]
