Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:05 2024
Metabolite	Source
2-3-DIHYDROXYBENZOATE[c]	Bennett et al. 2009
2-KETOGLUTARATE[c]	Bennett et al. 2009
2-PG[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
2K-4CH3-PENTANOATE[c]	Lempp et al. 2019
4-AMINO-BUTYRATE[c]	Lempp et al. 2019
4-hydroxybenzoate[c]	Bennett et al. 2009
ACETOACETYL-COA[c]	Bennett et al. 2009
ACETYL-COA[c]	Bennett et al. 2009, Lempp et al. 2019
ACETYL-P[c]	Bennett et al. 2009
ADENINE[c]	Bennett et al. 2009, Lempp et al. 2019
ADENOSINE[c]	Bennett et al. 2009
ADP-D-GLUCOSE[c]	Bennett et al. 2009
ADP[c]	Bennett et al. 2009, Lempp et al. 2019
AMP[c]	Bennett et al. 2009, Lempp et al. 2019
ANTHRANILATE[c]	Bennett et al. 2009
APS[c]	Bennett et al. 2009
ARG[c]	Bennett et al. 2009, Lempp et al. 2019
ASN[c]	Bennett et al. 2009, Lempp et al. 2019
ATP[c]	Bennett et al. 2009, Lempp et al. 2019
BIOTIN[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CA+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CA+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CAMP[c]	Bennett et al. 2009, Lempp et al. 2019
CARBAMYUL-L-ASPARTATE[c]	Bennett et al. 2009
CARBON-DIOXIDE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CDP[c]	Lempp et al. 2019
CHORISMATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CIS-ACONITATE[c]	Bennett et al. 2009
CIT[c]	Bennett et al. 2009, Lempp et al. 2019
CL-[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CMP[c]	Bennett et al. 2009, Lempp et al. 2019
CO+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CO+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CO-A[c]	Bennett et al. 2009, Lempp et al. 2019
CPD-12115[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12261[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12575[c]	Bennett et al. 2009
CPD-12819[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-12824[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-13469[c]	Bennett et al. 2009
CPD-2961[c]	Bennett et al. 2009
CPD-8260[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD-9956[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CPD0-939[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CTP[c]	Bennett et al. 2009, Lempp et al. 2019
CYS[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
CYTIDINE[c]	Bennett et al. 2009, Lempp et al. 2019
CYTOSINE[c]	Bennett et al. 2009, Lempp et al. 2019
D-ALA-D-ALA[c]	Lempp et al. 2019
D-SEDOHEPTULOSE-7-P[c]	Lempp et al. 2019
DAMP[c]	Bennett et al. 2009
DATP[c]	Bennett et al. 2009
DCTP[c]	Bennett et al. 2009
DEOXY-RIBOSE-5P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
DEOXYADENOSINE[c]	Bennett et al. 2009
DEOXYGUANOSINE[c]	Bennett et al. 2009
DGMP[c]	Bennett et al. 2009
DGTP[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
DI-H-OROTATE[c]	Bennett et al. 2009, Lempp et al. 2019
DIHYDROXY-ACETONE-PHOSPHATE[c]	Bennett et al. 2009, Lempp et al. 2019
DPG[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ENTEROBACTIN[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ERYTHROSE-4P[c]	Lempp et al. 2019
FAD[c]	Bennett et al. 2009
FE+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FE+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FE+3[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FMN[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FRUCTOSE-16-DIPHOSPHATE[c]	Bennett et al. 2009, Lempp et al. 2019
FRUCTOSE-6P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
FUM[c]	Bennett et al. 2009, Lempp et al. 2019
G3P[c]	Bennett et al. 2009
GDP[c]	Bennett et al. 2009, Lempp et al. 2019
GLC-6-P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
GLN[c]	Bennett et al. 2009, Lempp et al. 2019
GLT[c]	Bennett et al. 2009, Lempp et al. 2019
GLUCONATE[c]	Bennett et al. 2009
GLUTATHIONE[c]	Bennett et al. 2009, Lempp et al. 2019
GLYCERATE[c]	Bennett et al. 2009
GLYCEROL-3P[c]	Bennett et al. 2009
GLY[c]	Lempp et al. 2019
GMP[c]	Bennett et al. 2009, Lempp et al. 2019
GTP[c]	Bennett et al. 2009, Lempp et al. 2019
GUANINE[c]	Bennett et al. 2009, Lempp et al. 2019
GUANOSINE[c]	Bennett et al. 2009, Lempp et al. 2019
HISTIDINOL[c]	Bennett et al. 2009, Lempp et al. 2019
HIS[c]	Bennett et al. 2009, Lempp et al. 2019
HOMO-CYS[c]	Bennett et al. 2009
HOMO-SER[c]	Lempp et al. 2019
HYPOXANTHINE[c]	Lempp et al. 2019
ILE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
IMP[c]	Lempp et al. 2019
INOSINE[c]	Lempp et al. 2019
K+[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
L-ALPHA-ALANINE[c]	Bennett et al. 2009, Lempp et al. 2019
L-ARGININO-SUCCINATE[c]	Lempp et al. 2019
L-ASPARTATE[c]	Bennett et al. 2009, Lempp et al. 2019
L-CITRULLINE[c]	Bennett et al. 2009, Lempp et al. 2019
L-ORNITHINE[c]	Bennett et al. 2009
L-SELENOCYSTEINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
LEU[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
LL-DIAMINOPIMELATE[c]	Lempp et al. 2019
LYS[c]	Bennett et al. 2009, Lempp et al. 2019
MALONYL-COA[c]	Bennett et al. 2009
MAL[c]	Bennett et al. 2009, Lempp et al. 2019
METHYLENE-THF[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MET[c]	Bennett et al. 2009, Lempp et al. 2019
MG+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MN+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
MN+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
N-ACETYL-D-GLUCOSAMINE-1-P[c]	Bennett et al. 2009
N-ALPHA-ACETYLORNITHINE[c]	Bennett et al. 2009
NA+[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
NADH[c]	Bennett et al. 2009, Lempp et al. 2019
NADPH[c]	Bennett et al. 2009, Lempp et al. 2019
NADP[c]	Bennett et al. 2009, Lempp et al. 2019
NAD[c]	Bennett et al. 2009, Lempp et al. 2019
NI+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
NI+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
OROTATE[c]	Lempp et al. 2019
OXALACETIC_ACID[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
OXIDIZED-GLUTATHIONE[c]	Lempp et al. 2019
OXYGEN-MOLECULE[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PANTOTHENATE[c]	Lempp et al. 2019
PHENYL-PYRUVATE[c]	Bennett et al. 2009
PHE[c]	Bennett et al. 2009, Lempp et al. 2019
PHOSPHO-ENOL-PYRUVATE[c]	Bennett et al. 2009, Lempp et al. 2019
PPI[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PROPIONYL-COA[c]	Bennett et al. 2009
PROTOHEME[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PROTON[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PRO[c]	Bennett et al. 2009, Lempp et al. 2019
PRPP[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PUTRESCINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PYRIDOXAL_PHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
PYRUVATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
Pi[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
Pi[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
QUINOLINATE[c]	Bennett et al. 2009
REDUCED-MENAQUINONE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
RIBOFLAVIN[c]	Bennett et al. 2009
RIBOSE-1P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
RIBOSE-5P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
RIBULOSE-5P[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
S-ADENOSYLMETHIONINE[c]	Bennett et al. 2009
SER[c]	Bennett et al. 2009, Lempp et al. 2019
SHIKIMATE[c]	Bennett et al. 2009
SIROHEME[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
SPERMIDINE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
SUC-COA[c]	Bennett et al. 2009
SUC[c]	Bennett et al. 2009, Lempp et al. 2019
TDP[c]	Bennett et al. 2009
THF[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
THIAMINE-PYROPHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
THREO-DS-ISO-CITRATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
THR[c]	Bennett et al. 2009
TRP[c]	Bennett et al. 2009, Lempp et al. 2019
TTP[c]	Bennett et al. 2009
TYR[c]	Bennett et al. 2009, Lempp et al. 2019
UDP-GLUCURONATE[c]	Bennett et al. 2009
UDP-N-ACETYL-D-GLUCOSAMINE[c]	Bennett et al. 2009, Lempp et al. 2019
UDP[c]	Bennett et al. 2009, Lempp et al. 2019
UMP[c]	Lempp et al. 2019
UNDECAPRENYL-DIPHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
URIDINE[c]	Bennett et al. 2009
UTP[c]	Bennett et al. 2009, Lempp et al. 2019
VAL[c]	Bennett et al. 2009, Lempp et al. 2019
WATER[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
XYLULOSE-5-PHOSPHATE[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ZN+2[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
ZN+2[p]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
glycogen-monomer[c]	Biomass (EcoCyc GEM, Bremer and Dennis. 1996., and Neidhardt. 2006.)
