Generated by /user/home/ig13470/wholecell3/wcm2024/wcEcoli/runscripts/reflect/model_inspection.py on Wed Nov 13 18:20:06 2024
All regulation has 1922 total regulatory interactions (1057 positive, 865 negative) with 1354 genes regulated (302 positive and negative, 585 positive, 467 negative) from 31 regulators
TF regulation has 1486 total regulatory interactions (866 positive, 620 negative) with 1082 genes regulated (224 positive and negative, 513 positive, 345 negative) from 23 regulators
ppGpp regulation has 393 total regulatory interactions (191 positive, 202 negative) with 393 genes regulated (0 positive and negative, 191 positive, 202 negative) from 1 regulators
Transcription attenuation has 43 total regulatory interactions (0 positive, 43 negative) with 31 genes regulated (0 positive and negative, 0 positive, 31 negative) from 7 regulators
Cistron	Symbol	All regulation	TF regulation	ppGpp regulation	Transcription attenuation
CSRB-RNA	csrB	+	None	+	None
CSRC-RNA	csrC	+	None	+	None
DSRA-RNA	dsrA	+	None	+	None
EG10002_RNA	modB	+	+	None	None
EG10006_RNA	dcuB	both	both	None	None
EG10007_RNA	hisM	both	both	-	None
EG10008_RNA	zraS	+	+	None	None
EG10012_RNA	cydC	+	+	None	None
EG10014_RNA	acrD	+	+	None	None
EG10016_RNA	garL	+	+	None	None
EG10022_RNA	aceA	+	+	None	None
EG10023_RNA	aceB	both	both	None	None
EG10026_RNA	aceK	+	+	None	None
EG10027_RNA	ackA	+	+	None	None
EG10031_RNA	adhE	-	-	None	None
EG10033_RNA	agp	+	+	+	None
EG10034_RNA	alaS	-	None	-	None
EG10035_RNA	aldA	both	both	None	None
EG10043_RNA	cysQ	+	None	+	None
EG10044_RNA	osmE	-	-	None	None
EG10046_RNA	ansB	both	both	None	None
EG10047_RNA	apaG	+	+	None	None
EG10048_RNA	apaH	+	+	None	None
EG10049_RNA	appA	+	+	None	None
EG10050_RNA	appY	-	-	None	None
EG10052_RNA	araA	+	+	None	None
EG10053_RNA	araB	both	both	None	None
EG10054_RNA	araC	+	+	None	None
EG10055_RNA	araD	both	both	None	None
EG10056_RNA	araE	+	+	None	None
EG10057_RNA	araF	+	+	None	None
EG10058_RNA	araG	+	+	None	None
EG10060_RNA	araJ	+	+	None	None
EG10063_RNA	argA	-	-	None	None
EG10064_RNA	argB	-	-	None	None
EG10065_RNA	argC	-	-	None	None
EG10066_RNA	argD	-	-	None	None
EG10067_RNA	argF	-	-	None	None
EG10068_RNA	argG	+	+	None	None
EG10069_RNA	argI	both	-	+	None
EG10070_RNA	argR	both	both	None	None
EG10071_RNA	argS	-	None	-	None
EG10072_RNA	argT	-	-	-	None
EG10078_RNA	aroF	-	-	None	None
EG10079_RNA	aroG	-	-	None	None
EG10080_RNA	aroH	-	-	None	None
EG10081_RNA	aroK	-	-	None	None
EG10082_RNA	aroL	-	-	None	None
EG10083_RNA	aroM	both	-	+	None
EG10084_RNA	aroP	-	-	None	None
EG10085_RNA	ascB	+	+	None	None
EG10086_RNA	ascF	+	+	None	None
EG10088_RNA	asd	+	+	None	None
EG10092_RNA	asnB	-	-	None	None
EG10094_RNA	asnS	-	None	-	None
EG10095_RNA	aspA	+	+	None	None
EG10097_RNA	aspS	-	None	-	None
EG10107_RNA	avtA	-	-	None	None
EG10109_RNA	betA	-	-	None	None
EG10110_RNA	betB	-	-	None	None
EG10111_RNA	betI	-	-	None	None
